#J2000	zem	zabs	da	eda	sample	source	sigflag	imrotator	transition
J112442-170517	2.4	0.8062	17.38	13.73	D	VLT	3	0	b1 b2 j4 j5 j6 j7 j8
J112442-170517	2.4	1.2342	22.71	15.71	D	VLT	3	0	a2 b1 b2 j4 j6 j8 d1 d2
J115411+063426	2.762	1.7739	-7.39	7.84	D	VLT	3	0	j4 j5 j6 e2 h1 h2 h3 l1 l2 k1 k2 k3 i1 i3
J115411+063426	2.762	1.8197	-9.48	9.74	D	VLT	3	0	b1 b2 j1 j6 j7 j8 c1
J115411+063426	2.762	2.366	30.9	17.8	D	VLT	3	0	j1 j7 j8 c1 e1
J115944+011206	2.0	0.7908	15.61	10.8	D	VLT	3	0	b1 b2 j4 j6 j8
J115944+011206	2.0	1.3305	21.37	22.49	D	VLT	3	0	b1 b2 j4 j6 j7 j8 c1
J115944+011206	2.0	1.9438	5.18	4.42	D	VLT	3	0	a2 j1 j2 j3 j5 e1 e2 h1 h3 k1 k2 k3 i1
J120342+102831	1.888	1.3224	-9.65	19.3	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8 c1 e1
J120342+102831	1.888	1.3422	-20.06	14.43	D	VLT	3	0	a2 b1 b2 j1 j6 j7 j8 e1
J120342+102831	1.888	1.5789	17.43	27.16	D	VLT	3	0	a2 j4 j6 j7 j8 e1
J121140+103002	2.193	1.0496	-15.38	6.72	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7 j8
J123200-022404	1.043	0.7569	22.53	32.19	D	VLT	3	0	a2 b1 b2 j4 j6
J123200-022404	1.043	0.8308	16.72	9.11	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
J123437+075843	2.567	1.0201	-22.13	14.42	D	VLT	3	0	a2 j4 j6 j7 j8
J123437+075843	2.567	1.7194	4.85	9.43	D	VLT	3	0	j1 j4 j5 j6 d1 d2 e2
J133335+164903	2.084	0.7446	-8.28	5.42	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7
J133335+164903	2.084	1.3253	49.62	106.07	D	VLT	3	0	a2 b1 j6 j8 c1
J133335+164903	2.084	1.7765	8.43	4.48	D	VLT	3	0	b1 b2 j1 j5 j6 c1 e1 e2 h1 h2 l2 k1 k2 k3 i1
J133335+164903	2.084	1.7863	-4.89	8.6	D	VLT	3	0	a2 b1 j6 c1 d1 d2 e1 e2
J134427-103541	2.134	1.9155	0.15	7.44	D	VLT	3	0	j1 j4 j5 j6 j7 j8 e1 e2
J134427-103541	2.134	2.1474	64.48	88.31	D	VLT	3	0	b1 b2 c1
J135038-251216	2.534	1.4393	-9.87	5.68	D	VLT	3	0	a1 b1 b2 j1 j3 j8 d1 d2 h2 h3 l1 l2 k2 k3 i1 i2 i3
J135038-251216	2.534	1.7529	63.96	32.58	D	VLT	3	0	b2 j6 j8 c1 d1 d2
J141217+091624	2.856	1.4187	-29.19	17.71	D	VLT	3	0	b2 j4 j5 j7 j8
J141217+091624	2.856	2.0188	8.49	7.55	D	VLT	3	0	j1 j3 j4 c1 d1 d2 e2 h1 h2 h3 k1 k2 k3
J141217+091624	2.856	2.4564	-9.03	13.9	D	VLT	3	0	j1 j4 j7 e1
J141217+091624	2.856	2.6682	1.99	8.49	D	VLT	3	0	j1 j5 j6 c1 e1
J143040+014939	2.113	0.4878	35.8	21.7	D	VLT	3	0	a2 b2 j7 j8 i2 i3
J143040+014939	2.113	1.203	-8.12	32.9	D	VLT	3	0	b1 b2 j7 j8
J143040+014939	2.113	1.2411	-26.6	12.0	D	VLT	3	0	a2 b1 b2 j7 j8 e2 h1 h2 h3 l2 k2 k3 i1 i2 i3
J144653+011356	2.206	0.5097	-5.67	11.42	D	VLT	3	0	b1 b2 j4 j8
J144653+011356	2.206	0.6602	-0.73	18.31	D	VLT	3	0	a2 b1 b2 j6 j7 j8
J144653+011356	2.206	1.102	13.95	40.3	D	VLT	3	0	b1 b2 j6 j8
J144653+011356	2.206	1.1292	22.78	27.6	D	VLT	3	0	a2 b2 j4 j6 j8
J144653+011356	2.206	1.1595	-25.57	12.05	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7
J145102-232930	2.215	1.5855	-45.0	24.56	D	VLT	3	0	j6 j8 c1 d1 d2 e1
J200324-325144	3.773	2.0329	24.4	12.0	D	VLT	3	0	a2 b1 b2 j6 j7 j8
J200324-325144	3.773	3.1878	34.11	11.53	D	VLT	3	0	j1 j4 c1 e1 e2
J200324-325144	3.773	3.1917	22.38	42.17	D	VLT	3	0	j1 e1
J212912-153841	3.268	1.738	13.1	6.36	D	VLT	3	0	a2 j4 j5 j6 j7 j8 e1
J212912-153841	3.268	2.0225	-16.28	12.44	D	VLT	3	0	b2 j4 j7 j8 e1
J212912-153841	3.268	2.6378	13.2	33.3	D	VLT	3	0	c1 e1 e2 k1 k2 k3
J212912-153841	3.268	2.7686	-2.06	10.9	D	VLT	3	0	j1 e1 e2
J213314-464030	2.204	1.6148	43.2	15.68	D	VLT	3	0	j1 j4 j5 j6 c1 e1
J214159-441325	3.17	2.1329	-4.7	22.22	D	VLT	3	0	b1 b2 j4 j6 e1
J214159-441325	3.17	2.3828	11.7	8.58	D	VLT	3	0	j4 j5 j7 j8 c1 h1 h2 l1 l2 k1 k3 i1 i3
J214159-441325	3.17	2.8523	20.89	5.24	D	VLT	3	0	j1 j2 j3 j5 c1 e1 e2 h1 h3 k1 k2 k3
J214225-442018	3.23	0.9865	-0.93	10.5	D	VLT	3	0	b1 b2 j8
J214225-442018	3.23	1.0529	15.0	12.9	D	VLT	3	0	a2 b1 b2 j8
J214225-442018	3.23	1.1543	-62.5	40.0	D	VLT	3	0	a2 b1 b2 j7 j8
J214225-442018	3.23	1.7569	-61.83	43.08	D	VLT	3	0	b1 b2 j4 j6 j8
J214225-442018	3.23	2.1126	11.77	8.58	D	VLT	3	0	a1 a2 b1 b2 j3 j4 j5 j7 j8 e2 h1 h2 h3 l1 l2 k1 k2 k3 i1 i3
J214225-442018	3.23	2.2533	22.2	11.2	D	VLT	3	0	j4 j5 j6 j7 j8 c1 e1 e2
J214225-442018	3.23	2.3798	7.47	15.1	D	VLT	3	0	j1 j4 j5 j6 j7 j8 c1 e1 e2
J220734-403655	3.155	1.627	60.91	27.09	D	VLT	3	0	j4 j6 j7 c1
J220852-194359	2.558	0.9478	1.51	13.05	D	VLT	3	0	a2 b1 b2 j6 j7 j8
J220852-194359	2.558	0.9483	-26.86	20.09	D	VLT	3	0	b1 b2 j6 j7 j8
J220852-194359	2.558	1.0172	-5.25	5.46	D	VLT	3	0	a2 b1 j4 j5 j6 j7 j8
J220852-194359	2.558	1.0182	-4.12	10.4	D	VLT	3	0	b1 b2 j4 j6 j7 j8
J220852-194359	2.558	1.297	-14.35	27.63	D	VLT	3	0	a2 b1 b2 j6 j8
J220852-194359	2.558	1.9206	8.57	3.85	D	VLT	3	0	j1 j3 j4 j7 c1 e1 e2 h1 h2 h3 l1 l2 k1 k2 k3 i1
J220852-194359	2.558	2.0762	9.42	5.84	D	VLT	3	0	j1 j4 j5 j6 c1 k1 k2 k3
J222006-280323	2.406	0.7866	-5.57	14.79	D	VLT	3	0	b1 b2 j4 j6 j8
J222006-280323	2.406	0.9408	16.91	17.62	D	VLT	3	0	b1 b2 j4 j6 j8
J222006-280323	2.406	0.9424	9.88	12.5	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
J222006-280323	2.406	1.5554	9.45	6.04	D	VLT	3	0	b1 j4 j6 j7 j8 c1
J222006-280323	2.406	1.6279	23.0	8.61	D	VLT	3	0	a2 b1 j1 j4 j6 j7 j8 c1
J222756-224302	1.891	1.4129	-16.49	17.85	D	VLT	3	0	b1 b2 j4 j5 j6 j7 j8 c1 d1 d2 e1 e2
J222756-224302	1.891	1.4334	-45.07	29.35	D	VLT	3	0	b1 b2 j4 j8 c1 d1 d2 e1
J222756-224302	1.891	1.4518	10.24	15.86	D	VLT	3	0	b1 j4 j6 j7 j8 c1 e1
